municipio_cod;lon;lat;alt
2103406;-43,01400; -4,2547000;  55,5760
2103505;-44,24980; -6,0274000; 146,2914
2103554;-44,90300; -3,8411000;   8,9448
2103604;-44,12560; -4,1290000;  36,7719
2103703;-44,86780; -1,8255000;  17,3829
2103752;-47,40500; -5,5345000; 147,3468
2103802;-44,44000; -5,0384000; 137,8835
2103901;-42,94420; -4,1478000;  49,6444
2104008;-44,88610; -4,8703000; 115,3078
2104057;-47,44790; -6,5681000; 150,2938
2104073;-46,68740; -6,9631000; 334,7139
2104081;-44,91070; -6,1550000; 236,5403
2104099;-46,18640; -6,4353000; 273,0358
2104107;-46,18560; -6,9659000; 448,1547
2104206;-44,16060; -5,7362000; 217,8238
2104305;-45,77180; -1,4098000;  18,7356
2104404;-44,30590; -5,1440000; 149,1337
2104503;-44,27580; -5,0254000; 132,8520
2104552;-47,36890; -5,7474000; 204,1637
2104602;-44,24700; -5,3225000; 135,6744
2104628;-44,07090; -5,4729000; 121,5606
2104651;-45,67450; -3,4297000;  49,7764
2104677;-45,88150; -2,1350000;  41,8005
2104701;-44,33580; -5,4048000; 198,0573
2104800;-46,14240; -5,8185000; 151,0188
2104909;-44,59770; -2,1351000;   4,7893
2105005;-43,46510; -2,5912000;  10,4127
2105104;-44,06580; -2,7748000;   6,7121
2105153;-45,18330; -3,6367000;  23,0123
2105203;-44,86740; -4,6609000;  39,7010
2105302;-47,47980; -5,5265000; 130,7173
2105351;-45,79270; -5,1446000; 107,1764
2105401;-44,35430; -3,3990000;  21,8835
2105427;-47,52790; -4,4550000; 166,5187
2105450;-44,21990; -5,8197000; 190,9212
2105476;-45,63340; -5,3694000; 173,3675
2105500;-47,40500; -5,4537000; 176,9217
2105609;-44,69920; -4,9727000; 127,0355
2105658;-46,07070; -1,8746000;  53,8491
2105708;-45,12590; -4,5647000;  75,6184
2105807;-45,05130; -4,6076000;  73,3843
2105906;-44,93760; -4,0387000;  26,6407
2105922;-43,52760; -6,0453000; 220,3100
2105948;-44,97640; -4,6124000;  61,6163
2105963;-45,39060; -4,9931000; 179,3811
2105989;-47,03240; -6,1916000; 177,3319
2106003;-44,46930; -4,5170000;  59,5067
2106102;-45,13920; -7,0945000; 211,0033
2106201;-45,89530; -1,3255000;   9,9451
2106300;-42,20150; -3,3967000;  17,4204
2106326;-45,95860; -2,0562000;  27,3661
2106359;-45,45720; -4,6203000; 107,5230
2106375;-45,85560; -2,2356000;  56,6652
2106409;-43,12040; -3,6190000;  88,3446
2106508;-45,03640; -3,0984000;  21,8929
2106607;-43,20120; -5,5225000; 186,9485
2106631;-44,55020; -3,6275000;  34,6897
2106672;-42,61080; -3,5822000;  26,5006
2106706;-44,36260; -6,3776000; 187,0792
2106755;-44,58430; -3,5626000;  66,6282
2106805;-44,78580; -2,0642000;  13,9141
2106904;-45,24760; -3,4939000;  11,0927
2107001;-47,07040; -5,8286000; 249,5831
2107100;-44,04450; -2,8615000;  22,2199
2107209;-43,90450; -3,4625000;  17,3660
2107258;-46,25930; -7,1206000; 405,5717
2107308;-44,04860; -6,7332000; 201,5053
2107357;-45,70450; -2,7999000;  34,6772
2107407;-45,11960; -4,1373000;  42,9356
2107456;-45,00320; -2,9975000;  15,9412
2107506;-44,09870; -2,5281000;  33,1695
2107605;-44,90450; -2,6478000;  13,8449
2107704;-43,98580; -6,4318000; 285,6713
2107803;-43,09040; -5,6845000;  83,0980
2107902;-43,78170; -6,1740000; 218,6825
2108009;-44,08860; -6,6040000; 308,3973
2108058;-42,54540; -2,7182000;   3,3415
2108108;-45,24000; -4,4480000;  71,0739
2108207;-44,60370; -4,5694000;  32,5185
2108256;-45,34650; -2,9681000;  29,9735
2108306;-45,17650; -3,2932000;  17,9100
2108405;-44,85030; -2,5731000;   4,5980
2108454;-44,32590; -4,3702000;  57,6798
2108504;-45,34690; -3,6055000;   8,2501
2108603;-45,08390; -2,5227000;   7,7816
2108702;-45,17000; -3,8876000;  36,0957
2108801;-44,22830; -3,7253000;  36,7885
2108900;-44,95160; -4,7500000;  57,9947
2109007;-47,38220; -6,3542000; 188,0279
2109056;-44,58370; -1,8572000;   1,9986
2109106;-44,49290; -5,2824000; 106,2076
2109205;-44,07680; -2,9282000;  51,3674
2109239;-45,82070; -2,3837000;  35,7518
2109270;-45,37130; -2,5955000;  24,8091
2109304;-44,03340; -3,4020000;  38,6078
